me,me_eng,symbol,type_eng,type,population,socio_economic_rank,peripherality_rank,distance_tlv,district_eng,district,class_size,bagrut,teacher_student_ratio,income,percent_arab,diabetes,cancer_men,cancer_women,voting_rate_knesset_2021,voting_rate_knesset_2022,voting_rate_municipalities_2018,budget_income,budget_income_per_resident,arno_tax_collection_rate
זמר,Zemer,1290,local municipality,מועצה מקומית,7457,4,6,34.1,Center,המרכז,27,87.8,11.3,8307,99.9,,,,39.4,39.4,86.4,"39,152","5,320",36
זרזיר,Zarzir,975,local municipality,מועצה מקומית,8565,2,4,84.4,North,הצפון,24,53.9,10.8,7559,99.7,,,,34.4,34.4,89.4,"47,829","5,686",52
חורה,Hura,1303,local municipality,מועצה מקומית,24822,1,3,93.9,South,הדרום,27,68.8,10.2,7861,99.9,75.7,,,40.8,40.8,83.8,"179,121","7,481",52
חורפיש,Hurfeish,496,local municipality,מועצה מקומית,6639,5,2,129.1,North,הצפון,24,94.8,8.3,9512,100,,,,45.4,45.4,92.6,"57,464","8,732",42
חצור הגלילית,Hazor HaGelilit,2034,local municipality,מועצה מקומית,10047,4,2,136.9,North,הצפון,20,58.4,9,8429,0,,,,66.6,66.6,77.3,"95,035","9,734",96
טובא-זנגרייה,TubaZangariyye,962,local municipality,מועצה מקומית,7095,3,2,139.6,North,הצפון,24,69.6,9.4,7594,99.9,,,,33,33,84,"45,891","6,546",41
טורעאן,Tur'an,498,local municipality,מועצה מקומית,14809,3,3,100.1,North,הצפון,26,76.8,11.5,7830,100,81.1,,,38.6,38.6,94.2,"83,691","5,711",27
יאנוח-ג'ת,YanuhJat,1295,local municipality,מועצה מקומית,6930,5,3,114.6,North,הצפון,22,84.7,9.3,8501,100,,,,45.6,45.6,94.5,"50,533","7,376",50
יבנאל,Yavne'el,46,local municipality,מועצה מקומית,4542,2,3,102.3,North,הצפון,20,36.5,11,7743,0,,,,65.8,65.8,83.2,"36,166","8,132",68
יסוד המעלה,Yesud HaMa'ala,29,local municipality,מועצה מקומית,1798,7,1,147.6,North,הצפון,19,77.3,,11889,0,,,,70.5,70.5,83,"14,412","7,991",91
יפיע,Yafi,499,local municipality,מועצה מקומית,19704,3,5,85.5,North,הצפון,26,82.9,9.9,7991,100,89.1,,,42.2,42.2,79.1,"130,625","6,686",43
ירוחם,Yeroham,831,local municipality,מועצה מקומית,11170,4,2,126.3,South,הדרום,25,77.6,8.5,9523,0,71.7,,,62.6,62.6,76.1,"104,667","9,489",69
ירכא,Yirka,502,local municipality,מועצה מקומית,17759,3,3,107.6,North,הצפון,25,91.3,7.8,8132,99.6,59.2,,,51,51,96.5,"106,405","6,054",61
כאבול,Kabul,504,local municipality,מועצה מקומית,14628,3,4,95.8,North,הצפון,24,65.5,10.9,8167,99.9,89.8,,,63,63,92,"92,932","6,421",61
כאוכב אבו אל-היג'א,Kaokab Abu AlHija,505,local municipality,מועצה מקומית,3773,4,4,98.3,North,הצפון,28,95.8,10.8,8881,99.9,,,,56.1,56.1,90.1,"36,761","9,873",61
